short_name,total
Quaresma,858274
Ronaldinho,5673-272
Mikel Arteta,466681
J. Defoe,83+18376
P. Evra,79+277+680+1
E. Adebayor,686576
Iraola,79+17182+2
Aduriz,65+261+282
J. Mathieu,746580-1
David Villa,757682-4
D. Benaglio,424480
Bruno Alves,676975-1
V. Enyeama,425162
G. Ochoa,476575
Raffael,77-28482
I. Denisov,757875
R. Mavuba,687480
G. Clichy,84-18283
Raúl Albiol,6056+180
A. Song,6869-180-3
M. Debuchy,777776
L. Perrin,685978+3
B. Sagna,737182+1
A. Valencia,84-179-278-4
Naldo,67-255-180
D. Ba,757381
Miguel Veloso,697378-1
F. Fazio,35-73579+2
A. Chedjou,727577
A. Costa,657577
M. Baša,553873
E. Pérez,847984
O. Cardosa,32-2750-1879
M. Musacchio,68+375+1180+6
N. Nkoulou,786979
J. Pastore,628377+3
R. Cabella,87+189+674
L. Insigne,93+195+174
Paco Alcácer,8182+579+1
S. Kaya,72+37180
T. Krul,506375
Y. Sommer,485582-4
R. Zieler,464379+1
A. Dzagoev,8271-2182
G. Bonaventura,82+377+176-1
Guaita,516375
Illarramendi,697477+2
E. Salvio,908574
Alex Sandro,85+17682+1
Ander Herrera,788481
A. Lacazette,8883+276+2
P. Jones,63-643-979
K. Volland,8277-179
Mario Suárez,605280
K. Gameiro,83+185+183+1
A. Taarabt,83-18476
S. Coleman,78-775+177+3
A. Lallana,76-283-175+2
V. Stocker,828477
Fernando,6679-178
J. Biabiany,94-186+174-1
L. Bonucci,655978-1
K. Asamoah,858376-1
J. McCarthy,756674+2
D. Blind,6873-183+2
Víctor Ruíz,65+157+173+1
G. Krychowiak,55+159+177+1
A. Abdennour,68-866-376-2
Ibai Gómez,8383+174+2
Deulofeu,9093+176+3
Carvajal,798677+4
R. Elm,637681
J. Evans,69+15081
Fábio Coentrão,837482
Sergio Asenjo,59+1662+1072+5
Azpilicueta,7975-283
O. Toprak,7566-180
S. Ulreich,443778
Alex Teixeira,79-28482+3
P. Aubameyang,968181-1
K. Navas,616977+1
J. Cillessen,544879+2
M. Rojo,73+473+273
R. Eremenko,8174+872
R. Nainggolan,8279-180-1
B. Dzsudzsák,838378
K. Glik,49-133-177-1
Sandro,6856-1179
Javi García,616278
M. Fellaini,55-95779
M. Cáceres,818376-1
Iborra,5553+169
R. Keane,68-57883
M. De Sanctis,344979-1
F. Lampard,34-146880-4
R. Ferdinand,535481
L. Donovan,81-37779
M. Carrick,535880
C. Pizarro,60-17483+1
F. Coloccini,705981
S. Pienaar,789075
P. Jagielka,664974
A. Aquilani,58-27574-1
M. Dawson,34-45277
M. Demichelis,32-232-575
Maicon,767280-1
M. Vorm,606781-1
J. Lescott,535775
W. Caballero,525974
Helton,646579-5
F. Marchetti,556083-1
D. Srna,69-771-282
G. Rodríguez,6863+175-1
V. Demirel,353465
Xabi Prieto,59-46479-4
Arbeloa,696472
Juanfran,79-27883-1
I. Olić,7775-181
Raúl Meireles,737279-2
A. Lennon,949477
T. Vermaelen,726676
Manuel Fernandes,838271
G. Inler,696875-1
V. Behrami,777678
