short_name,total
R. Thomas,59-360+666
V. Fiorillo,363267-1
T. Rogne,47-164867-2
F. Macheda,68-17466
A. Clayton,69-17069
M. Ritchie,727466
Vitor Gomes,636371
A. Barnes,74+670+467
M. Maâzou,916972
Kanu,676267
A. Budimir,535869
V. Sasso,504664
G. Marilungo,83-18368-1
J. Rossini,686868-1
F. Semb Berge,553866
D. Hoesen,787970-1
Kléber,606568
C. Wood,61-35967
J. Corona,78-390+467-1
H. Lindner,476968
Isma López,79+278+453
Rubén Miño,566161
N. Zabolotnyy,434968
R. Funes Mori,75-177-163-5
M. Autret,747667
J. Bakela,736762
R. Funes Mori,69+36668
E. Larsen,867363
J. Naessens,736771
Diogo Amado,747371
N. Marsman,425365
A. Merkel,777970
B. Lecomte,453662+12
Javi Espinosa,73+174+370
F. Raspentino,777368+2
R. Mahrez,82+58755
R. Holzhauser,50-34868
A. Escoboza,82-18062-1
M. van Duinen,79+36767
Chuli,7477+468
I. Azemi,62+35468
D. Diamantakos,74+55658
L. Valenzuela,74+1573-163+3
L. Quiñónes,908768
J. Villota,728263
J. Valoy,887876
A. Ramos,91+192-267
G. Verón,92+1777+870
R. Delgado,7760+865+2
T. Okriashvili,777269
J. Arango,797768
D. Alaniz,837966
A. Avlonitis,614859
S. Henderson,515761
J. Hobbs,636160
E. Atar,737775
L. McGugan,687065
N. Nielsen,738066
F. Dionisi,73-18268-1
K. McDonald,73-26669+1
M. Vrancic,54-77468
S. Vokes,62-56167
H. Jele,736354
Rúben Ribeiro,77+37570
Rui Fonte,788074-1
M. Larrondo,6158-1064-1
M. Amsif,474667
S. Armenteros,7269-568
P. Coutts,707359
D. Villalva,9092+269-1
P. Groß,69-26768+1
S. Sow,767371
Bóveda,75-16363+3
S. Polter,69+16668
J. Koch,7267-172
K. Leerdam,74+17374+1
G. Burgstaller,757763
A. Camara,81+377+471
J. Delle,523967
Borja García,86-478-272+1
B. Angoua,666874
Y. Del Valle,78-378+367+5
M. Riemann,534570+3
R. Pedriel,708074
Timor,5455-157
Pedro Moreira,615768
C. Gytkjær,737266
Erik Morán,5559+263+2
R. Riski,849052
Víctor Álvarez,78-17566
P. van Anholt,76-170-667
J. Kosecki,94+292-167
Dani Nieto,8484+265+2
C. Martina,767068
E. Mathoho,544161
A. Biyogo Poko,73-473-267-2
V. Gadzhev,716668
L. Milivojević,595866+4
Y. Al Shahrani,91+287+364
F. Píriz,6458+274
R. Williams,513766
A. del Valle,818166
D. González,555871
E. Mas,80+26970+1
B. Alemán,837968
Morales,7872-360+7
Edgar,7448-1565+13
J. Falcón,776572
S. Kurtuluş,676069
V. Demidov,545770
R. Boukari,83-16564
B. Turner,51-431-561
R. Schwartz,907259
L. Grabban,81-182-1166
C. Gunter,777371
R. De Laet,886468
M. Emnes,89-17370
Nuno Coelho,72+1964+566-2
S. Fürstner,687367
B. Sarmiento,909269
C. Akabueze,737466
M. Jørgensen,67-357+363-4
J. Grahl,414469
S. Terodde,63+15468+1
S. Wagner,63-358-167+1
C. Schneuwly,668267
D. Odoi,819170
Marcos Paulo,686967
C. Maidana,73+47773
V. Rüfli,806762
Pau Cendrós,7369+367+1
E. Benítez,81-176-165-1
A. Al Dosari,7579+256
G. Kagelmacher,63+562+163
K. Kratz,76-277-167-1
Matilla,69+172+165+3
B. Başdaş,564564
K. Gomis,516063+4
R. Gershon,6258-367
R. Rojas,71-174-168-1
B. Linssen,847766
B. Rienstra,55+16470
L. Tonelli,555069-1
J. Antonia,939262
N. Nikolics,716263
M. Bakalorz,66-269-268
Javi Hervás,71+278+364
I. Piris,787873
R. Olsen,283359
T. Matlaba,88+68070
I. Santini,605268
B. Touré,625470
R. Cardozo,737372
D. Currimilla,73-17876
H. Orzan,8176-269
R. Ortiz,697067
Zainadine Júnior,73+16568
Aldaír,828863
T. Sparv,3034-264
M. Connolly,654657
I. Promise,747868
R. Gíslason,787068
H. Kage,838666
Welliton,84-781-171-1
J. Torres,73-174-171-1
N. Theuerkauf,566867
S. Gonther,686063+1
O. Şişmanoğlu,666675
Claudemir,73-27073-2
R. Noir,908065
A. Kashi,697170
M. Pappa,73-38660
B. Mee,69-266+266
J. Brayford,787670
I. El Adoua,34-1242-364-6
Zequinha,75+37366
R. Métanire,767264
F. Uribe,706768
A. Filtsov,423468
M. Hedges,62-35858
I. Kelava,504561-1
J. Vardy,83+269+769
Alcatraz,777366
C. Alzáte,919167
J. Muñoz,84+18162
Roberto,66+170+769+6
Marcelo Goiano,72+483+1567+2
F. Sánchez,91+47564+4
R. Vaz Tê,787969
C. Cohen,707171
U. Uçar,746667
M. de Jong,69-575-170
D. Wheater,54-1149-662-8
Jonathan Pereira,89-18675
R. Goreux,828069
M. Cahais,675863
M. Reynolds,75+97571+5
J. Zavala,67-132-3367-1
H. Habibou,766767
S. Rieks,807472+1
D. Da Silva,53-251+459+7
R. Johnson,39-3739-1262-2
A. Putsila,787965
K. Kombarov,7581-173
R. Vargas,68-170-166-1
William Matheus,727167
A. Ríos,66-16467-1
A. Luthe,384267
A. Bernardini,545254-1
N. Bianchi Arce,323563
Dani Quintana,7480+643
D. Silva,777672
J. Duque,846263
D. Braghieri,49-94061
J. Domínguez,808070
M. Mitrović,615160
B. Nivet,58-356-1965
Manú,939075
T. Maoulida,63-27261
L. LuaLua,687370
Pintassilgo,718471
A. Głowacki,37-76165
G. Holt,42-1148-2369-5
A. Agostini,687070-1
S. Reid,526070
J. Wiland,343668
L. Mathis,51-56265+15
U. İnceman,536668
L. Butelle,494075
L. Bonnart,60-46266
A. Le Tallec,62-671-665
B. Grougi,69+176+466
J. Mapp,807363
A. Yahia,34-115970
J. McAnuff,778071
L. Camp,356270
M. Hudson,33-136467
D. Haas,333369
G. Šukalo,514969
L. Belingheri,728269
Seol Ki Hyeon,777760
L. Cufré,53-759-252-16
G. Pujol,56-774-265-3
Rubén,473360
Antonio Hidalgo,57-165+167
F. Audard,214163
R. Olarra,44+436+163-1
David López,627268
Nino,7377+383
M. Eggimann,373967
S. Roudet,657664
C. Itandje,414353
F. Coltorti,464263
S. Malki,696566
U. Ceylan,565164
S. Dobbie,557172
Ángel,70-272-164-6
David García,76+168+274
Marcelo Nicácio,66-255-568
Kim Byung Ji,646759
Kim Yong Dae,505265
Kim Young Kwang,562766
A. Budel,52-155771-1
M. Magee,69-37669
P. Waigo,7879-169
G. Samaras,76-87471+4
B. Waterman,525866
V. Di Cesare,57+33061+1
F. Signorino,716873
B. Bergougnoux,70-285+1564
W. Erviti,698272
C. Salcido,58-559-165-1
C. Conway,7880-259-5
J. Marveaux,53-56369-4
H. Ghaly,706771
O. Pérez,496971
J. Rodríguez,54-770-168-1
A. De Nigris,68-157+171-1
W. Ponce,343769
T. Ben Haim,43-84663
O. Ferreyra,736971
C. Tula,62-761+760-12
F. Erpen,72-16064-1
P. Ferrari,77-37466
D. Villar,737064
D. Tőzsér,45-75461
S. Salcedo,726971
Dorca,58+560+466+5
Acorán,81+189+568
Seoane,58-15664
Momo,70+274+264
Iago Bouzón,54-259+163+4
Guillermo Vallori,523864
Iván Cuéllar,596562
Peña,7372+367
Felipe Sanchón,90+285+372
S. Davydov,453971
I. Lebedenko,756874
S. Mila,487071
D. Mendes da Silva,636065
T. Høgli,717273
D. Dudka,61+960+1058
S. Pellissier,546059-2
D. Papadopoulos,776370
M. Caligiuri,687568
K. Stadsgaard,544867
D. Konstantopoulos,314558
H. Losada,697765-1
R. Raldes,476965
P. Vitti,76-27469
M. Roman,77-470-365-3
Lolo,53-260+170-13
Andrea Orlandi,6867-567-2
F. Arce,64-568-367-4
J. Thomas,767162-6
O. Herea,757262
R. Márquez Lugo,69-769-167-1
J. Medina,72-171-166-7
E. Braafheid,757372-1
Ailton,747371
G. Sardo,53-15270-1
J. Huiqui,50-951-165-2
G. Bedoya,477177
N. Cardozo,79-578-469-1
C. Valdez,70-270-368-7
E. Velarde,78+274-168+9
M. Fortuné,666467
N. Asare,788571
J. Wuytens,474666-6
T. Kessler,564567
Juanlu Hens,68+173+253
M. Schneuwly,72+127465
P. Andersson,797566+3
C. Santin,737670
O. Barsottini,37-1255-564
C. Puggioni,446858-1
A. Pérez,626373
B. Watson,6571-372-2
S. Narubin,424362
A. Filimonov,464263
L. Becchio,45-76269
M. Bunn,485466
D. Biondini,686669-1
L. Ridgewell,75+76558
R. Turnbull,504366
B. Sharp,66-374-375-3
N. Champagne,606270+6
D. Graham,48-136374
S. Cox,73-17471
D. Abdoun,71-481+157-12
J. Magallón,49-96171-3
L. Barnett,6730-466
Caio,646269
T. Kristensen,6246-1075
Ivanildo,798364
E. Duplan,69-775-266
S. Cissé,7370+271+1
E. Pesoli,556364-1
F. Niell,8691+167
A. Bellinghausen,75-16470
A. Budakov,414766
N. Domingo,697972
Marcelo Oliveira,646267
Ricardinho,848170
D. Milicevic,74+36865
R. Contout,85+486+361
A. Ulmer,76-27973+2
A. Mosquera,66+1658+850-16
M. Baca,676470
Jordi Gómez,637158
C. Esquivel,81-178-166-1
Nagore,66+158+180
R. Ramírez,4940+371+10
Aythami Artiles,46-357+163
Pablo Sánchez,657471
C. Álvarez,57-261-159
Chus Herrero,55-260+258
J. Larsen,534865-2
B. Kısa,657067
G. Rudolf,767064
J. Basanta,66-261-155
M. Fofana,62-45966
P. De Ceglie,757964-8
S. Leto,697567-1
O. Al Muwallad,704962
V. Bernárdez,57-15771
C. Wilk,69-36473
D. Tošić,686073
J. Quercia,727270
A. El Jadeyaoui,77-59162+12
P. Karlsson,727061
L. Figueroa,77+17759+1
R. Lima,71-27751
S. Meza,74-173-168-1
D. Rangelov,69-567-870+2
Yannick Djaló,90+89065
S. Rusculleda,74-976-167
R. Schilder,6062-273
B. Djiby Fall,636466
Dani,596069
T. Mangani,687068+1
D. Bassi,404964-1
N. Frey,686468+3
A. Luci,707769
Nuno André Coelho,41-163-166-1
J. Beckford,80-36769-2
A. Ateef,61-972-270
M. Al Marshadi,57-259+365+6
P. Krmaš,253370-1
Chong Te Se,728369
A. Angoula,516366
H. Schmidtgal,78-17568
A. Coulibaly,66-77068
Diego Ângelo,546060
E. Conde,362965
D. Veškovac,6754-160
Marinho,91+19070+1
O. Merlo,54-25870
E. Hernández,82-175-159-1
F. Sammaritano,75+184+274-2
Edimar,77+16771-2
M. Narry,647378
Alex Bergantiños,60-46170-1
D. Kouemaha,665869
João Real,53+362+1363
Oier,71+166+271
S. Escudero,39-96065
S. Brandy,76+17271+3
J. Wemmer,76+169-366
João Pedro,767868
D. Nounkeu,79-178-263-9
D. Novaretti,54-14654-1
S. Manolev,736968
S. Ilsanker,33-1531-1152-7
J. Fano,656362
M. Giménez,737268
B. Kumordzi,635874
L. Marín,366248
J. Delaplace,77-77273
Claiton,545254-1
O. Ebagua,808167-1
E. Cortés,74-658-1069-1
F. Meneses,929166
D. Orlishausen,334564
L. Aveldaño,5435-2163
R. Fernández,48-35562
A. Henríquez,313268
F. Pereyra,807868
C. Bonilla,706376
J. Mancerino,745258
T. Akahoshi,7582+971
H. Al Hamdan,83+181+165
H. Taïr,7271+170
C. Pérez,34-1031+172
D. Peralta,413570
N. Vikonis,373167
S. Gonzalez,616670
A. Acevedo,45+460-178
C. Pérez,666466
L. Martínez,463367
F. Nájera,314274
G. Farré,686769
G. Vargas,69-465-343
Tete,9191+163
Diego Galo,555765+1
B. Frontán,737572
Rafael Defendi,413954
N. Chalobah,7476-272
P. Nardi,543568
A. González,73+482+968+2
Victor Andrade,859170+7
J. Tah,554764
Grimaldo,82+182+271
L. Đorđević,79-37759
Iuri Medeiros,8787+165
D. Yedlin,94+18664
D. Del Fabro,686251-5
F. Bernardeschi,75+267-367+3
B. Assombalonga,86+45763+1
A. Belotti,72+46361-1
José Sá,425062
S. Meïté,736668
Kepa Arrizabalaga,3436+266
A. Rozzi,82+478-258-1
Otávio,767646
Rubén Blanco,545260+4
M. Benassi,7572-165+1
Santi Mina,697362+4
N. Stark,686265
S. Slavchev,616365
M. Rodríguez,87+2587+770+17
T. Nedelev,79-67959+1
J. Roussillon,75+276+468
G. Caprari,848666-1
Wallace,77+27267+13
P. Hofmann,54-55365+1
T. Watt,83+36464
P. Mogilevets,7176+1866+14
A. Miranchuk,747564
J. De Sart,626566
C. Fuentes,76-27166
I. Ordets,454854
G. Gardner,536060
M. Jacobs,78-183-154
I. Saadi,77+680+464
D. Foulquier,76-168+156+1
E. Salli,77-48572
J. Lingard,817262
R. Fraser,88+192+561
S. Longo,75+871+258+2
A. Ngando,797156
A. Morozo,748865
P. Zieliński,70+17265
Y. Gerhardt,697466
F. Masuaku,83+47167
S. van Beek,63-240-658
J. Rojas,89+18166
J. Delgado,83+18561
Tomané,68+262+368
K. Darlow,596364
I. Pękalski,647772
P. Jansson,50-15774-1
L. Hyam,71-17466
N. Larsen,393556
M. Colin,74+274+871
J. Tallo,696466+3
Jota,67-177+166+1
Oriol Rosell,565971
Cristian Ceballos,79+472-463-2
N. Dicko,857567
D. Heintz,63+25364+1
F. Al Qarni,4250+761
A. Gyurcsó,816857-8
N. Karelis,787356+3
L. Madinda,73-169-160+1
Tiago Rodrigues,57-46871-3
Ricardo Esgaio,68-983-172+12
A. Farrell,79-87965
D. Laxalt,79-18165-1
L. Reyes,70+180+459
S. Stevens,483663
Luis Silva,655960+2
E. Assifuah,838264
K. Boateng,81-17472
K. Nagasawa,7690+658
W. Hahn,454464
Fábio Martins,737565
H. Singh,757169
F. Ojo,758364
V. Hedenstad,7978+269-1
F. Smolov,747069
R. Jönsson,687171
A. Hansen,345868
M. Antonio,92+182+168
O. Elabdellaoui,84-183-268
Alberto Perea,76-172-170
R. Varga,827563
Suk Hyun Jun,666468
I. Ávila,758270
J. McInerney,76+57570
Juanmi,7677-174
C. Coosemans,434768
D. Poloz,76+1273+870+2
L. Landre,535664+2
P. Kitchen,62-77266
Esmael,687166
Alex Martínez,78+179+455
M. Elyounoussi,83-18354
A. Tighadouini,77+277+864+4
S. Ameobi,817367
P. Wszołek,78-16460-1
P. Rakovsky,505165
Ruiz de Galarreta,65-275+253+4
Djaniny,76-166-171-1
A. Lagos,756863
J. Lopy,6971+364
Roger,81+278+462
Matheus,444568
L. Veldwijk,664666
E. Forsberg,817760
A. Baba,80+56565+1
S. Larsson,79-18254
R. Ghezzal,807558-2
Kim Jin Su,747867
F. Fokobo,726462
A. Parot,60-372+959
B. Anderson,77-18454+1
Jony,75+1173+2058
G. Pereira,615971
E. Velázquez,694460
M. Keita,89+1391+165
Felipe Mattioni,68-17570
Bernardo,33-1033-356
Y. Salibur,9086+560-7
M. Bakenga,867563
F. Martínez,81-180-671-5
Yun Suk Young,797058
Roderick,33-183461-1
L. Sobiech,48-43266
D. Batth,39-115261
C. Schuler,68+133461
A. Kolomeytsev,546260
F. Pogba,54-115766
S. Romagnoli,555462-1
D. D'Ambrosio,797572-1
M. Rzatkowski,868767+1
Fernando Canesín,838168
S. Igboun,918668
S. Kittel,70-385-169
Caetano,909264
G. Bussmann,676763+4
J. Ankersen,868057
V. Klonaridis,847569
R. Ely,665861+2
G. Maluleka,74-16663
A. Patosi,838167-1
L. de Sa,90-177-564+4
Toño,82+376+568+10
O. Petrák,68+26468
Cristiano,273765+9
S. Kvirkvelia,664164+4
M. Kone,767468-1
I. Vetokele,8692+667
L. Sadiku,656972
M. de Roon,656069
K. Triantafyllopoulos,62+14765+5
R. Thelander,656355
J. Wurtz,67+17466+2
R. Pizarro,81-576-567-1
N. Tagliafico,888565
L. Magallán,52-659+1569+6
Israel,54-150+154+1
A. Núñez,798464
Hernâni,85+875+865+7
A. Conte,6564+654+6
Y. Candelo,909069
J. Cabezas,665971
Y. Chará,919172
C. Baeza,68-371-167+5
R. Farfán,90+190+656
D. Türüç,7675+165-1
L. Gil,727067+1
N. Domínguez,798072
D. Zappacosta,70+168+269+1
S. Toro,78+664-571
Y. Gazinskiy,63+125964+6
J. Calleri,73+869+1068+8
E. Cerutti,81+28169+1
M. Šćepović,60-25659-2
S. Özmen,675960
Gedoz,787368
M. Pedersen,757359
R. Acquafresca,686663-1
G. Ngoyi,67-17072-1
E. Lichaj,7670+168
M. James,696364
G. Vural,817870
E. Ambrose,725965
J. Hernández,74-370-1268-1
S. Joseph-Monrose,888573
M. Johansson,838370+2
B. Hübner,54-74868+3
B. Sigurðarson,768167
J. Burić,304876
Rodrigo Dantas,667759
S. Padt,413167
D. Schahin,65-468-669
A. Yusupov,706968
B. Marshall,767263
R. Boymans,515368
Daniel Ayala,676266
C. Dawson,676054
E. Özarslan,485350
J. Rojas,93+290+366-1
J. Nilsen,758171
J. Zárate,86-680-359-1
M. Nelom,82+38366
J. Cabral,8588+261
D. Royer,8686+160
M. te Wierik,60+1056+1066
L. Rupp,65-977-267+1
Carles Planas,69-369-272+1
B. Dejaegere,778569
D. Kaiser,748267
T. Burlak,7061-369
J. Plata,82-139669
A. Vellios,635664
R. Ligeon,88-285+166
W. Orban,61+339+268+2
M. Paglialunga,59-258+263
S. Lung,433471
S. Dioudis,403650
S. Yago,755864
Abel Camará,666866
M. Eriksson,666673
J. Adeoti,60-455+965+13
F. Ceccherini,686067-1
E. Saveljich,54-1441-970
L. Masalesa,71-98555
H. Nervo,68+849-166+4
F. Lértora,656264
L. Jara,776368+1
D. Kreilach,596365
F. Mussis,767577
R. Carrera,686866
C. Aquino,768066
K. Itabel,84+177965+5
S. Dursun,6768-265
E. Kokalović,514153
T. Qalinge,837663
D. Cotterill,82-183+163-1
K. Giannoulis,746365
A. Chihi,7679+167
G. Obertan,867958
K. Madsen,724671
L. Scaglia,807164-1
R. Salinas,77-172-166-1
A. Cauņa,767773
J. Johansson,565773
T. Kirschbaum,575466
Song Jin Hyung,878973
L. Giorgi,63-15864-1
J. Butterfield,666566
A. King,697170
L. Kitambala,79-182-166-5
S. Privat,676473
P. Schiattarella,867468-1
A. Catellani,82+580+161-1
E. Imorou,747272+2
P. Pawlett,8678+557+2
T. Torun,758266
Maikon Leite,92+193+170-1
L. Gassama,67-76261
I. Armaş,6045-357
M. Gaus,83+67265
Héctor Rodas,47-34661
Joan Oriol,74+171+263
N. Ben Khalifa,727666
I. Sylla,78+681+766+2
Fuentes,77-172-163
Fransérgio,68+17173+12
D. Fabbrini,75-372-467-3
G. Mertens,66-25665
Arroyo,67-16469
Borja Gómez,5334-754
M. Kieftenbeld,69-16763
M. Silva,54-16055
A. Zamorano,75-174-168-1
D. Keet,454168
D. Bulthuis,645567
L. Nangis,768267+6
E. Nadarevic,797566+3
E. Andrada,453465
Pedro Henrique,828258
D. Verbeek,84-17858+4
M. Britos,72-1176-565-1
S. Tréllez,727267
R. Berić,64-1458+167
F. Aristeguieta,536658
J. Ferrari,664567
C. Monsalvo,837868
S. Pol,85+590+357
G. Oboabona,726362
J. Sanguinetti,818567
U. Matić,67+267+371+14
M. Vidal,64+265+1573+15
João Silva,655964-1
G. Cristaldo,797666
G. Toledo,777769
Kuca,797562
N. Radoja,635874
C. Cambon,545563
O. Iakovenko,787560-1
M. Bravo,88-291+267-1
J. Troisi,807560
M. Güven,616664
J. Surraco,809167-1
F. Della Rocca,677171-1
A. Rosi,79+170+169-1
S. De Witte,695767
T. Bianchi,696169
L. Trotter,7064-170-3
J. Nava,84+384+966-1
D. Petric,473467
B. Shea,67-162-465
J. Holland,70+175+360
C. Nöthe,686968
I. Jiménez,74-173-169-1
S. Morrison,54-95256-1
B. Mokulu,766267
R. Gestede,6857+563+2
A. N'Diaye,6356+1368
D. Latza,687465+1
T. Pukki,75-27668
K. Laribi,82+38163-1
P. Nakoulma,898060
P. Mandanda,535664
Lionn,797464
A. Sarota,66-16868
F. Bérenguer,82+768+862
A. Gunino,84-180-263+11
S. Gürler,917248
J. Campos,667162
B. Leroy,343374
Alex,7981+661
J. Enríquez,67+1064-365-1
R. Amalfitano,6980+268
A. Gorgon,7374-152
M. Aguirregaray,806867
Ilie Sánchez,727979
Y. Soumahoro,8890+162
M. Djuricin,6876+375
G. Katsikas,614549
L. Silva,79+27563
A. Romero,80-47359
L. Cardozo,735862
A. Tena,736661
G. Malfleury,75+588+369
D. Buballa,83+2461+266
A. Szymanowski,858152
R. Philippoteaux,87+2482+2157
M. Ibrahim,776751
D. Brown,88+57262
F. Torijano,625969
W. Zapata,736773
N. Barahona,828267
M. Mier,76+778+660
D. Benedetto,75-172-167-1
M. Aoudia,636567
B. Sagredo,9181-251+2
B. Abdurahimi,837670
D. Verhulst,563756
S. Özkan,828162
K. Reichel,686865
Danilinho,8078-767-1
M. Suttner,81-378-572-2
A. Hammill,7870+363
T. Enevoldsen,7480+768
G. De Mets,677170
B. Hamalainen,846669
D. Boerrigter,84-16768
L. Ainsworth,91+88066+12
J. Pearce,47-55562
J. Domínguez,66-16265-1
D. N'Gog,806364
M. Lekven,789060
S. Arfield,737464
B. Urribarri,86+184+767
R. Poepon,70-165-169+3
S. Escudero,867679
G. Berardi,7871+171
D. Vidosic,777158
S. Lowry,655554
C. Strohdiek,493864
D. Hubert,636067
J. Dueñas,73-171-169-1
A. Dauda,857465
E. Pérez,71-216965-1
D. Meyler,55-35970
I. Vigurs,65+282+168+2
M. Görlitz,78+384+362
Lillo,61-36170+8
E. Falkenburg,646868
A. DeLaGarza,76+17674
I. Obradović,767475
Bruno Soares,53-851-163-2
L. Neagle,84-18068
Iñigo Pérez,75+373-173
D. Stahl,736762
T. Ream,746160
L. Mendoza,80-677-666-3
J. Corona,73-174-166-1
C. Glombard,687263
J. Ayoví,72-155-968-1
B. Röcker,61+1146+761+3
G. Pizarro,61-56271-1
José Mari,67+36060
J. Lopera,596068
J. Álvarez,657471
H. Rojas,687868
F. Noguera,757068
J. Aguirre,728467
A. Donatti,554962
J. Copete,857366
F. Márquez,767570
W. Johnson,79-36467
E. Andrade,76-473-167-1
A. Bonnet,75+285+456
Y. Buyens,656470
R. Majewski,69-17159
S. Langil,89-28466+7
E. Terranova,686861-1
T. Chevalier,827668
L. Vibe,888275
M. Schet,847562
S. Al Faraj,80+187+366
L. Rodríguez,83-174-165-1
C. Martínez Borja,75-16468-1
Odaïr Fortes,909059
D. Davari,524262
M. de Leeuw,66-27070
Brito,86+980+663+6
S. Otálvaro,665968
J. Vásquez,636570
L. Lollo,37-84768+4
C. Salom,63-45156
A. Puljić,67-25767
K. Keleş,838577
G. Pasquale,686772-1
R. Riou,405465+3
R. Carroll,202764
A. Coulibaly,49+848+463
M. Blasi,656369-3
Manuel Pablo,555076
E. Maresca,43-75469-1
G. Bellini,53-15768-1
C. Lupatelli,333663-1
J. Ángel,464572
T. Tainio,57-116873
D. Gabbidon,474471
R. Nuzzolo,797162
S. Hammell,707165
H. Andreasen,554565
Kim Nam Il,697866
C. Bocanegra,45+1145-167
K. McNaughton,72-26366-2
G. Givet,34-2142-1566
K. Lasley,61-107272
M. Rasmussen,603468
M. Oussalah,70-371-167-2
J. Kristiansen,65-268-267-4
R. Guana,686070+1
E. Johnson,83-48160
M. Ericsson,678166
J. Poulsen,7472+470
J. Busch,58+760-161
J. Álvarez,6470+358
S. Harper,343671
P. Konchesky,61-66967
E. Bugge Pettersen,344071
D. Henderson,455066
G. Greer,32-175558
S. Caldwell,5359-164
S. Warnock,736068
S. Kotsolis,273165
C. Casey,51+1758-164
S. Almirón,346559-1
B. Köhler,72-18468-1
D. Kruppke,62-57267-2
K. Geraerts,556273
M. Langer,31+52261
F. Agliardi,454867-1
D. Dogan,536562
Aganzo,617060
Iván Hernández,37-54454
C. Heimeroth,302765
R. Fuller,71+24864
D. Perquis,465462+3
M. Thygesen,757168
L. Kruse,594166
M. Sağlik,67-677-164
E. Matoukou,656366
S. Balcı,848174
A. Koçak,637364
G. Þorvaldsson,79-17379-1
D. Örlund,453356
Rubinho,475158-1
Michel,69-1271+167
G. Tamaş,38-125665
A. Geijo,555966
Lee Chun Soo,815772
P. Bianco,31+13459-1
C. Lepoint,595873+3
N. Borchers,63+835+169
G. Garics,766869-1
K. Stuhr-Ellegaard,503170
M. Kilgallon,685765
C. Terlizzi,3455-364-1
D. Succi,6871-167-1
Tiago Gomes,74+174+164
Manuel José,64+36068-1
L. Pérez,67-171-158-1
O. Bravo,76-18168-1
A. Cordaro,778273
J. Sutton,62+15767+1
R. Makondele,758366
M. Fledderus,57-762-768
C. Delgado,64-168-165-1
A. Gashi,536774
J. Buxton,50-447-962
R. Wallace,76-779-468-4
R. Lemaître,656464
I. Damonte,686871
M. Mirošević,63-35365
R. Martínez,76-26867-4
E. Bologna,474074
M. Romagnoli,35-1049-161-1
M. Carrusca,676063
M. Pavone,66-151-161-1
D. Herner,443769
R. Díaz,54-467-355
M. Romero,70+2050-659-4
K. D'Haene,415766
L. Palos,324974
G. Ré,656966
G. Ünal,596772
C. Schwegler,7378+269+4
Mora,57-161+163-4
Migue,54-24665
Jonathan Ruiz,6470+371
José Juan,495961
Dani Giménez,616472
D. Jensen,484674-5
Iñaki Astiz,667159
P. Pogrebnyak,47-632-555-5
A. Tlisov,697571
A. Bober,596564
E. Ruud,737374
R. Zubar,65-170+456
K. Lorentzen,765970
S. Poulsen,7567-268
R. Özcan,544872
F. Schiemer,55-867+266
O. Occéan,66-16365-2
D. Marney,706359
L. Licht,8173-365
L. Garguła,517965
H. Pellerano,45-105655-1
C. Mackail-Smith,7984+170
A. Askar,788255
Shin Hwa Yong,546161
K. Petersen,547161
S. McDonald,767370
D. Bičík,282571
F. Vilar,626776
M. Mills,51-353-157
D. Blackstock,68-462-568
C. Morales,74+279-464-3
D. Álvarez,81+18067-1
J. Faubert,69-97071
J. De la Cuesta,544670
C. Ochoa,6770-159-1
I. Estrada,82-290+265-1
J. Mackie,76-270+174
G. Pineda,676768
Ricardo,64+26163
U. Hünemeier,615960
E. Kapllani,526272
M. Parensen,716972
S. Jahic,707866
D. Vrančić,526268
J. Sami,37-153462
J. Elizondo,54-968-367
Defendi,485360
G. Zecchin,788466-1
D. Fox,696763+3
P. Larsson,423862
G. Munari,43-86769
S. Ottesen,45-749+764
S. Hunt,7069+160
P. Leciejewski,535758
M. Berger,596364
G. Gimbert,63-275-557
L. Moore,69-97171
E. Villa,426468
O. Ivanov,686067
D. Ricketts,57+53866
Evaldo,687164
T. Matthys,666767
A. Crofts,61-15769+1
B. Safari,838066
S. Darbion,58+567+470
Roger,656471
Xisco,545264+3
J. Larentowicz,72+1361-168
M. Parkhurst,74+136267
D. Goian,635262
Angelo,777672
N. Navarro,505867+6
T. Podgórski,767459
V. Marín,768770
A. Gaţcan,667067
D. Belorukov,41+433-1159
R. Elliot,475466
S. Le Toux,64-57165
R. Cazzola,53-15660-1
R. Schiavi,49-653+1364-1
M. Arzuaga,706867
O. Hoban,666866
G. Venegas,44-115969+7
T. Oehrl,635266
Y. Kermorgant,666272
A. Balzano,76+969+568-1
David Rodríguez,79+273+460
R. Chávez,78+276-164-1
Carpio,73+180+472
Óscar Díaz,6372+359
E. Castillo,90+286+265-1
L. López,54-186867-1
Helder Cabral,747971
Tiago Valente,62-35763-2
J. van den Berg,59-554-166+3
A. Cutolo,8183+163-1
L. Seijas,717563
E. Gutiérrez,65-970+864
O. Kaya,787670
A. Vaņins,363161
S. Quinn,759068
S. Gaxa,80-17368
S. Nkosi,64+107053
W. Palacios,666775
D. Ovono Ebang,435466
J. Guagua,693260
W. Ayoví,65-166-667-1
D. Oliech,86-473+1156
J. Choplin,544155
Yeom Ki Hun,715666
J. Devaca,616164
Filipe Gonçalves,52-46770
B. Castillo,343862
S. Missiroli,67-16467-1
J. Moreno,665062
M. Bjärsmyr,58-139-265+2
J. Cárdenas,80-176-163-1
Y. Opazo,70-368-351+1
M. Milligan,626168
G. Svensson,64+1044-2176+4
L. Baal,805967
T. Derijck,60-763-160
Agus,43-438-457
H. Özmert,676072
D. Capelli,3441-150-1
M. Lomić,64-46873
